date,pm2_5,air_temperature,air_humidity,is_primary_outlier,T,P0,P,U,DD,Ff,VV
2024-05-26 07:00:00,6.616666666666666,7.071166596666667,94.93499808333333,False,7.0,744.0,755.4,93.0,13.0,8.0,10.0
2024-05-26 08:00:00,8.341666666666667,7.320166568333334,94.54833239166666,False,7.0,743.2,754.6,93.0,12.0,8.0,10.0
2024-05-26 09:00:00,14.766666666666667,7.8490832075,96.37099865,False,8.0,743.2,754.6,87.0,12.0,7.0,10.0
2024-05-26 10:00:00,16.45,8.506916499999999,97.08074921666666,False,8.0,742.5,753.9,93.0,12.0,4.0,4.2
2024-05-26 11:00:00,16.65,11.288166433333334,89.62024855,False,9.0,742.6,753.9,94.0,16.0,4.0,10.0
2024-05-26 12:00:00,,,,False,13.0,741.9,753.1,77.0,3.0,7.0,10.0
2024-05-26 13:00:00,,,,False,15.0,742.0,753.1,48.0,2.0,7.0,10.0
2024-05-26 14:00:00,,,,False,15.0,742.0,753.1,42.0,3.0,9.0,10.0
2024-05-26 15:00:00,,,,False,16.0,742.1,753.1,42.0,3.0,9.0,10.0
2024-05-26 16:00:00,13.166666666666666,11.035833066666667,75.54449875,False,12.0,742.7,753.9,67.0,0.0,7.0,10.0
2024-05-26 17:00:00,14.833333333333334,11.055333066666666,74.02883171666667,False,12.0,742.7,753.9,72.0,0.0,5.0,10.0
2024-05-26 18:00:00,7.666666666666667,10.005166449999999,84.16816548333333,False,11.0,742.7,753.9,67.0,0.0,6.0,10.0
2024-05-26 19:00:00,3.183333333333333,8.874333116666666,85.86733219999999,False,9.0,744.1,755.4,87.0,4.0,8.0,10.0
2024-05-26 20:00:00,1.3333333333333333,8.453499841666666,88.73083225,False,9.0,744.8,756.2,82.0,4.0,5.0,10.0
2024-05-26 21:00:00,1.45,8.222833183333334,91.6001646,False,8.0,744.8,756.2,87.0,0.0,5.0,10.0
2024-05-26 22:00:00,1.5333333333333334,8.272666508333334,90.61249845,False,8.0,744.8,756.2,87.0,1.0,5.0,10.0
2024-05-26 23:00:00,1.6666666666666667,7.952499883333333,86.80166535,False,8.0,744.8,756.2,82.0,1.0,9.0,10.0
2024-05-27 00:00:00,1.5666666666666667,7.945999923333333,88.57299865,False,8.0,744.8,756.2,82.0,2.0,4.0,10.0
2024-05-27 01:00:00,4.9,8.136333233333334,93.2614989,False,8.0,744.0,755.4,87.0,6.0,4.0,10.0
2024-05-27 02:00:00,24.183333333333334,8.689833083333333,95.42133233333334,False,8.0,743.2,754.6,93.0,6.0,6.0,10.0
2024-05-27 03:00:00,18.933333333333334,9.5333331,96.83199826666667,False,9.0,743.3,754.6,94.0,6.0,6.0,10.0
2024-05-27 04:00:00,9.666666666666666,10.553833133333335,92.84899828333333,False,11.0,743.3,754.6,88.0,2.0,6.0,10.0
2024-05-27 05:00:00,11.216666666666667,9.528999950000001,91.65299866666666,False,10.0,743.3,754.6,82.0,0.0,9.0,10.0
2024-05-27 06:00:00,15.383333333333333,9.463166366666666,94.97033181666667,False,10.0,744.1,755.4,88.0,0.0,8.0,10.0
2024-05-27 07:00:00,14.033333333333333,9.788333091666665,96.3894989,False,9.0,744.1,755.4,94.0,0.0,8.0,10.0
2024-05-27 08:00:00,11.358333333333333,10.662749683333335,91.80849896666668,False,10.0,744.9,756.2,88.0,0.0,7.0,10.0
2024-05-27 09:00:00,6.016666666666667,12.219166458333332,80.53566553333333,False,11.0,745.6,756.9,88.0,4.0,6.0,10.0
2024-05-27 10:00:00,5.0,12.738499749999999,73.02549909999999,False,13.0,745.7,756.9,77.0,4.0,6.0,10.0
2024-05-27 11:00:00,,,,False,12.0,746.9,758.2,72.0,0.0,7.0,10.0
2024-05-27 12:00:00,,,,False,13.0,747.0,758.2,63.0,4.0,6.0,10.0
2024-05-27 13:00:00,,,,False,13.0,747.8,759.0,55.0,5.0,6.0,10.0
2024-05-27 14:00:00,,,,False,13.0,747.8,759.0,51.0,5.0,5.0,10.0
2024-05-27 15:00:00,,,,False,13.0,747.8,759.0,51.0,4.0,5.0,10.0
2024-05-27 16:00:00,,,,False,13.0,747.8,759.0,59.0,4.0,5.0,10.0
2024-05-27 17:00:00,,,,False,13.0,747.8,759.0,51.0,4.0,4.0,10.0
2024-05-27 18:00:00,,,,False,13.0,747.8,759.0,51.0,5.0,4.0,10.0
